member_id,member_name,age,gender,phone_number,join_date,loyalty_tier,churn_status
1,Bruno Silva,47.0,M,+55 (92) 97532-3506,2023-11-11,Silver,Churned
2,Rafael Gomes,50.0,F,+55 (86) 94397-6280,2024-03-19,Gold,Active
3,Guilherme Souza,52.0,F,,2022-10-09,Gold,Active
4,Matheus Ferreira,37.0,F,+55 (46) 99106-1166,2025-09-07,Basic,Active
5,Fernanda Pereira,31.0,F,+5513-91524-5820,2024-07-03,Silver,Active
6,Leonardo Ferreira,49.0,F,+55 (81) 95419-6764,2021-13-30,Basic,Active
7,Ana Ribeiro,23.0,M,+55 (72) 94530-9595,2021-02-23,Gold,Churned
8,Beatriz Souza,35.0,M,+55 (16) 90893-5786,2024-12-27,Basic,Churned
9,Isabela Santos,52.0,F,+5554-93020-1841,2024-04-06,Gold,Active
10,Pedro Alves,52.0,M,+55 (83) 94978-2395,2023-14-01,Basic,Churned
11,Manuela Gomes,30.0,F,+55 (49) 99642-8025,2024-01-20,Silver,Active
12,Ana Martins,29.0,F,+5533-99043-2229,2019-11-29,Basic,Active
13,Isabela Rodrigues,,F,+55 (69) 91166-4824,2022-03-04,Silver,Active
14,Matheus Alves,30.0,M,+55 (20) 90977-3718,2021-12-24,Silver,Churned
15,Beatriz Pereira,60.0,F,+55 (75) 98847-9090,2023-07-07,Silver,Churned
16,Bruno Gomes,21.0,M,+55 (13) 94415-1659,2025-06-14,Basic,Active
17,Guilherme Rodrigues,53.0,F,+55 (71) 95700-7690,2024-07-07,Silver,Churned
18,Bruno Alves,34.0,F,,2025-03-03,Basic,Active
19,Ana Martins,48.0,M,+55 (17) 93073-9494,2025-01-31,Silver,Active
20,Mariana Souza,24.0,F,+55 (73) 91989-1472,2023-11-30,Silver,Active
21,Julia Rodrigues,51.0,F,+55 (25) 97560-2924,2020-01-17,Basic,Churned
22,Beatriz Lima,42.0,F,+5581-92369-7284,2024-04-18,Silver,Active
23,Gabriel Carvalho,,F,+5575-94377-1042,2022-10-24,Basic,Active
24,Isabela Carvalho,50.0,F,+55 (80) 96180-8460,2022-11-14,Gold,Churned
25,Larissa Gomes,42.0,M,+55 (59) 96325-3492,2022-07-27,Basic,Active
26,Leonardo Ferreira,44.0,M,+55 (12) 92361-7717,2024-11-24,Gold,Active
27,Rafael Ferreira,41.0,M,+55 (79) 96226-6188,2022-09-07,Gold,Active
28,Karina Silva,31.0,F,+55 (66) 91612-2646,2021-07-20,Silver,Churned
29,Mariana Ferreira,34.0,F,+55 (42) 98702-7751,2023-03-16,Silver,Active
30,Pedro Gomes,55.0,M,+55 (29) 93804-8555,2024-07-31,Basic,Active
31,Guilherme Rodrigues,26.0,M,+55 (86) 94901-7951,2023-12-15,Basic,Active
32,Diego Carvalho,31.0,F,+55 (48) 94837-1359,2025-05-31,Silver,Active
33,Leonardo Carvalho,19.0,F,+5540-99946-6772,2022-03-18,Basic,Active
34,Gabriel Costa,56.0,M,+55 (15) 99495-6977,2022-06-19,Basic,Active
35,Fernanda Oliveira,50.0,F,+55 (45) 92695-5210,2024-12-14,Gold,Churned
36,Beatriz Ribeiro,23.0,F,+5539-96511-6992,2019-11-05,Basic,Active
37,Ana Pereira,59.0,F,+55 (92) 96086-2775,2025-07-22,Basic,Active
38,Karina Ferreira,30.0,M,+5549-96689-2911,2024-03-16,Gold,Active
39,Isabela Santos,50.0,M,+55 (96) 98850-7866,2023-05-11,Silver,Churned
40,Ana Carvalho,42.0,F,+55 (38) 97264-8285,2019-05-15,Gold,Active
41,Camila Lima,57.0,F,+5535-92001-8450,2019-09-06,Basic,Active
42,Lucas Silva,31.0,M,+55 (81) 93394-4538,2025-05-01,Basic,Churned
43,Manuela Silva,25.0,M,+5533-91801-1422,2025-01-21,Basic,Churned
44,Leonardo Ferreira,,F,+55 (64) 98619-2862,2019-08-03,Basic,Churned
45,João Gomes,48.0,M,+55 (95) 98543-5941,2019-06-27,Gold,Active
46,Isabela Carvalho,59.0,M,+55 (67) 91204-2323,2024-07-01,Basic,Active
47,Manuela Costa,36.0,F,+5569-98282-8048,2025-09-12,Silver,Churned
48,Karina Ribeiro,43.0,F,+55 (69) 96532-7815,2021-07-24,Basic,Active
49,Rafael Ferreira,59.0,F,,2019-10-02,Basic,Active
50,Camila Martins,19.0,F,+55 (96) 96929-1842,2020-05-15,Silver,Active
51,Leonardo Lima,58.0,F,+5555-99113-7022,2021-07-07,Basic,Active
52,Fernanda Carvalho,55.0,M,+5599-94381-1474,2025-10-30,Silver,Active
53,Bruno Ferreira,,M,+5519-92324-1502,2025-05-08,Silver,Active
54,Guilherme Ferreira,35.0,F,+55 (17) 92549-3579,2025-05-13,Basic,Active
55,Guilherme Costa,54.0,F,+55 (76) 91864-6655,2023-08-24,Basic,Active
56,Isabela Lima,18.0,M,+55 (18) 90125-4349,2023-06-07,Basic,Active
57,Rafael Rodrigues,16.0,F,+55 (59) 98725-4770,2023-10-30,Gold,Churned
58,Pedro Alves,18.0,F,+55 (20) 95129-8033,2019-03-18,Silver,Active
59,Ana Alves,,F,+5590-97538-6928,2020-12-04,Gold,Active
60,Leonardo Alves,41.0,F,+55 (32) 91251-9363,2022-10-22,Silver,Active
61,Camila Ferreira,57.0,M,+55 (43) 93232-3842,2021-08-25,Silver,Active
62,Julia Martins,45.0,F,+5590-95295-6179,2025-05-01,Basic,Active
63,Beatriz Martins,19.0,F,,2024-09-09,Basic,Active
64,Camila Carvalho,57.0,M,+55 (70) 99508-1672,2025-08-30,Gold,Active
65,Bruno Gomes,25.0,M,+55 (54) 91381-9266,2024-01-20,Basic,Active
66,Guilherme Lima,26.0,F,+55 (60) 96697-6543,2023-03-08,Basic,Active
67,Bruno Santos,51.0,F,+55 (95) 99874-3463,2022-03-09,Silver,Active
68,Camila Rodrigues,60.0,F,+55 (21) 95072-7171,2020-06-12,Basic,Active
69,João Santos,43.0,F,+55 (34) 93509-6598,2019-03-16,Basic,Active
70,Gabriel Oliveira,,M,+55 (78) 90618-6517,2024-09-10,Silver,Active
71,Gabriel Oliveira,60.0,M,,2023-11-28,Basic,Active
72,Guilherme Gomes,44.0,M,+55 (71) 93178-7026,2024-12-27,Silver,Active
73,Beatriz Martins,49.0,F,+5588-92267-5096,2020-10-25,Basic,Active
74,Ana Ribeiro,23.0,F,+5545-97361-9410,2019-12-10,Basic,Churned
75,Larissa Carvalho,38.0,M,,2023-08-27,Silver,Active
76,Pedro Ferreira,36.0,M,+55 (28) 90627-5700,2022-10-05,Basic,Churned
77,Isabela Pereira,21.0,M,+55 (30) 98991-9647,2021-11-14,Silver,Active
78,Ana Silva,56.0,F,+5574-99776-9782,2019-09-15,Silver,Active
79,Gabriel Rodrigues,55.0,F,+55 (34) 91402-9576,2021-09-12,Basic,Active
80,João Martins,51.0,M,+5516-96338-7116,2023-05-19,Basic,Churned
81,Camila Souza,56.0,M,+55 (53) 92185-1726,2025-07-11,Basic,Active
82,Guilherme Ribeiro,27.0,M,+5569-90605-5807,2019-09-16,Silver,Churned
83,Bruno Rodrigues,50.0,F,,2021-11-03,Silver,Active
84,Mariana Carvalho,33.0,M,+55 (62) 97204-7334,2023-02-16,Basic,Active
85,Camila Martins,21.0,F,+55 (34) 98937-5813,2019-11-20,Basic,Active
86,Beatriz Pereira,43.0,M,+5516-95776-8126,2023-12-24,Gold,Churned
87,Pedro Costa,39.0,M,+5588-97179-1570,2019-05-08,Basic,Active
88,Camila Alves,18.0,M,+55 (58) 97273-2259,2024-01-17,Silver,Active
89,Rafael Souza,17.0,M,+55 (82) 91929-5288,2024-08-06,Silver,Active
90,Manuela Rodrigues,47.0,M,+55 (20) 97406-3828,2020-05-17,Basic,Active
91,Bruno Costa,20.0,F,+55 (92) 92852-6922,2022-05-13,Basic,Active
92,Gabriel Souza,17.0,F,+55 (70) 99038-3126,2025-03-19,Basic,Active
93,Isabela Lima,42.0,M,+55 (93) 91215-8372,2020-05-28,Silver,Active
94,Karina Costa,24.0,F,+5518-92034-9488,2024-08-21,Basic,Active
95,Larissa Ferreira,49.0,F,+5592-99024-5496,2019-11-20,Basic,Active
96,João Costa,53.0,M,+55 (88) 95531-1674,2020-12-02,Basic,Active
97,Leonardo Rodrigues,52.0,F,+55 (91) 98938-5745,2019-05-05,Basic,Active
98,Diego Rodrigues,60.0,M,+55 (72) 97609-4342,2020-10-09,Basic,Churned
99,Bruno Ribeiro,38.0,F,+55 (76) 99202-2739,2020-06-19,Basic,Active
100,Larissa Oliveira,34.0,F,+5531-95364-6123,2023-09-09,Basic,Churned
101,Guilherme Pereira,47.0,M,+5575-97491-4944,2020-01-04,Basic,Active
102,Isabela Gomes,57.0,F,+55 (24) 97060-3194,2022-03-16,Silver,Churned
103,Camila Silva,52.0,M,+55 (20) 96329-9261,2023-01-24,Silver,Churned
104,Manuela Costa,24.0,M,+55 (54) 99139-6990,2023-06-02,Basic,Active
105,João Silva,,M,+55 (77) 97487-3440,2022-09-26,Silver,Active
106,Manuela Ferreira,55.0,F,+55 (76) 98721-9025,2025-08-28,Basic,Churned
107,Camila Ferreira,42.0,F,+55 (44) 99477-4728,2019-04-20,Silver,Active
108,Manuela Martins,25.0,M,+55 (25) 93125-1310,2019-05-10,Basic,Active
109,Matheus Alves,55.0,F,+55 (77) 93397-6325,2019-09-13,Basic,Active
110,Julia Pereira,37.0,F,+55 (35) 94038-5571,2023-14-01,Basic,Churned
111,Beatriz Martins,29.0,F,+5582-94480-5715,2022-07-22,Silver,Active
112,Diego Carvalho,25.0,F,+55 (21) 95674-8247,2019-06-22,Silver,Active
113,Karina Rodrigues,60.0,F,+5586-93920-4972,2020-07-16,Gold,Active
114,Larissa Silva,37.0,F,+55 (28) 90084-3587,2020-02-16,Gold,Churned
115,Isabela Costa,34.0,F,+55 (22) 99406-4804,2022-03-15,Silver,Churned
116,Julia Alves,27.0,M,+5534-94742-1613,2023-06-15,Silver,Active
117,Bruno Rodrigues,57.0,F,+55 (70) 94470-4159,2020-07-03,Basic,Active
118,Rafael Ribeiro,37.0,F,+55 (35) 92875-7643,2025-05-14,Silver,Active
119,Ana Oliveira,46.0,F,,2021-10-13,Basic,Active
120,Rafael Ferreira,52.0,M,+55 (99) 93871-2017,2021-12-07,Basic,Active
121,João Ribeiro,60.0,M,+55 (39) 93590-3188,2022-04-23,Basic,Churned
122,Camila Alves,46.0,M,+55 (87) 91341-9609,2021-10-10,Silver,Active
123,Leonardo Santos,,M,+55 (32) 95375-9525,2025-06-03,Silver,Active
124,Isabela Santos,44.0,M,+55 (64) 97484-1945,2024-02-01,Silver,Active
125,Lucas Alves,16.0,M,,2025-06-26,Basic,Active
126,Karina Silva,20.0,F,+55 (34) 92218-7887,2019-05-10,Gold,Active
127,Diego Alves,58.0,M,+5579-96439-9664,2022-11-25,Gold,Churned
128,Lucas Rodrigues,50.0,F,+55 (40) 94055-8546,2024-12-18,Basic,Churned
129,Ana Silva,42.0,M,+55 (23) 99731-1550,2021-09-12,Silver,Churned
130,Larissa Ribeiro,,F,+55 (18) 92295-9255,2021-08-17,Basic,Churned
131,Leonardo Ferreira,59.0,F,+55 (29) 98540-4621,2021-08-28,Basic,Active
132,Leonardo Ribeiro,56.0,F,+55 (55) 96244-9592,2025-03-26,Basic,Active
133,Diego Oliveira,46.0,M,+55 (29) 97586-1944,2021-07-12,Gold,Active
134,Gabriel Alves,29.0,F,+55 (58) 91514-9775,2019-11-20,Basic,Active
135,Manuela Gomes,,M,+55 (86) 99156-4555,2021-02-09,Gold,Active
136,Lucas Souza,23.0,F,+55 (37) 96498-4921,2021-09-20,Silver,Active
137,Karina Costa,32.0,F,+55 (70) 91615-8692,2024-10-01,Basic,Active
138,Bruno Alves,,M,,2020-08-20,Silver,Active
139,Fernanda Rodrigues,37.0,M,+5542-98180-6530,2023-04-05,Gold,Churned
140,Isabela Pereira,38.0,M,+55 (73) 93015-9882,2020-07-27,Gold,Active
141,Pedro Carvalho,16.0,F,+5540-91113-3474,2020-07-17,Silver,Active
142,Manuela Costa,55.0,F,,2024-06-21,Silver,Active
143,Lucas Lima,50.0,F,+5597-97054-3937,2019-03-12,Basic,Active
144,Matheus Gomes,38.0,F,,2023-06-14,Gold,Active
145,Larissa Ribeiro,59.0,M,,2019-05-10,Basic,Active
146,Mariana Costa,,M,+55 (66) 95427-2562,2019-12-05,Gold,Active
147,Leonardo Pereira,20.0,F,+5515-92938-6152,2025-02-02,Basic,Active
148,Diego Santos,52.0,M,+55 (60) 98856-6435,2025-05-10,Silver,Churned
