member_id,member_name,age,gender,phone_number,join_date,loyalty_tier,churn_status
1,Bruno Silva,47.0,M,+5592975323506,2023-11-11 12:03:00,Silver,Churned
2,Rafael Gomes,50.0,F,+5586943976280,2024-03-19 10:39:00,Gold,Active
3,Guilherme Souza,52.0,F,0,2022-10-09 13:08:00,Gold,Active
4,Matheus Ferreira,37.0,F,+5546991061166,2025-09-07 14:05:00,Basic,Active
5,Fernanda Pereira,31.0,F,+5513915245820,2024-07-03 11:58:00,Silver,Active
6,Leonardo Ferreira,49.0,F,+5581954196764,,Basic,Active
7,Ana Ribeiro,23.0,M,+5572945309595,2021-02-23 14:39:00,Gold,Churned
8,Beatriz Souza,35.0,M,+5516908935786,2024-12-27 10:13:00,Basic,Churned
9,Isabela Santos,52.0,F,+5554930201841,2024-04-06 17:06:00,Gold,Active
10,Pedro Alves,52.0,M,+5583949782395,,Basic,Churned
11,Manuela Gomes,30.0,F,+5549996428025,2024-01-20 14:21:00,Silver,Active
12,Ana Martins,29.0,F,+5533990432229,2019-11-29 12:00:00,Basic,Active
13,Isabela Rodrigues,39.5,F,+5569911664824,2022-03-04 14:25:00,Silver,Active
14,Matheus Alves,30.0,M,+5520909773718,2021-12-24 15:19:00,Silver,Churned
15,Beatriz Pereira,60.0,F,+5575988479090,2023-07-07 15:31:00,Silver,Churned
16,Bruno Gomes,21.0,M,+5513944151659,2025-06-14 14:35:00,Basic,Active
17,Guilherme Rodrigues,53.0,F,+5571957007690,2024-07-07 16:18:00,Silver,Churned
18,Bruno Alves,34.0,F,0,2025-03-03 15:27:00,Basic,Active
19,Ana Martins,48.0,M,+5517930739494,2025-01-31 16:04:00,Silver,Active
20,Mariana Souza,24.0,F,+5573919891472,2023-11-30 12:18:00,Silver,Active
21,Julia Rodrigues,51.0,F,+5525975602924,2020-01-17 10:58:00,Basic,Churned
22,Beatriz Lima,42.0,F,+5581923697284,2024-04-18 11:59:00,Silver,Active
23,Gabriel Carvalho,39.5,F,+5575943771042,2022-10-24 14:29:00,Basic,Active
24,Isabela Carvalho,50.0,F,+5580961808460,2022-11-14 13:56:00,Gold,Churned
25,Larissa Gomes,42.0,M,+5559963253492,2022-07-27 09:30:00,Basic,Active
26,Leonardo Ferreira,44.0,M,+5512923617717,2024-11-24 10:07:00,Gold,Active
27,Rafael Ferreira,41.0,M,+5579962266188,2022-09-07 17:52:00,Gold,Active
28,Karina Silva,31.0,F,+5566916122646,2021-07-20 15:24:00,Silver,Churned
29,Mariana Ferreira,34.0,F,+5542987027751,2023-03-16 15:36:00,Silver,Active
30,Pedro Gomes,55.0,M,+5529938048555,2024-07-31 10:38:00,Basic,Active
31,Guilherme Rodrigues,26.0,M,+5586949017951,2023-12-15 09:18:00,Basic,Active
32,Diego Carvalho,31.0,F,+5548948371359,2025-05-31 11:44:00,Silver,Active
33,Leonardo Carvalho,19.0,F,+5540999466772,2022-03-18 16:30:00,Basic,Active
34,Gabriel Costa,56.0,M,+5515994956977,2022-06-19 13:21:00,Basic,Active
35,Fernanda Oliveira,50.0,F,+5545926955210,2024-12-14 16:17:00,Gold,Churned
36,Beatriz Ribeiro,23.0,F,+5539965116992,2019-11-05 13:44:00,Basic,Active
37,Ana Pereira,59.0,F,+5592960862775,2025-07-22 13:14:00,Basic,Active
38,Karina Ferreira,30.0,M,+5549966892911,2024-03-16 14:07:00,Gold,Active
39,Isabela Santos,50.0,M,+5596988507866,2023-05-11 17:52:00,Silver,Churned
40,Ana Carvalho,42.0,F,+5538972648285,2019-05-15 12:19:00,Gold,Active
41,Camila Lima,57.0,F,+5535920018450,2019-09-06 14:38:00,Basic,Active
42,Lucas Silva,31.0,M,+5581933944538,2025-05-01 17:42:00,Basic,Churned
43,Manuela Silva,25.0,M,+5533918011422,2025-01-21 12:50:00,Basic,Churned
44,Leonardo Ferreira,39.5,F,+5564986192862,2019-08-03 16:37:00,Basic,Churned
45,João Gomes,48.0,M,+5595985435941,2019-06-27 13:42:00,Gold,Active
46,Isabela Carvalho,59.0,M,+5567912042323,2024-07-01 16:50:00,Basic,Active
47,Manuela Costa,36.0,F,+5569982828048,2025-09-12 13:56:00,Silver,Churned
48,Karina Ribeiro,43.0,F,+5569965327815,2021-07-24 14:02:00,Basic,Active
49,Rafael Ferreira,59.0,F,0,2019-10-02 11:44:00,Basic,Active
50,Camila Martins,19.0,F,+5596969291842,2020-05-15 14:10:00,Silver,Active
51,Leonardo Lima,58.0,F,+5555991137022,2021-07-07 11:53:00,Basic,Active
52,Fernanda Carvalho,55.0,M,+5599943811474,2025-10-30 14:02:00,Silver,Active
53,Bruno Ferreira,39.5,M,+5519923241502,2025-05-08 16:14:00,Silver,Active
54,Guilherme Ferreira,35.0,F,+5517925493579,2025-05-13 12:11:00,Basic,Active
55,Guilherme Costa,54.0,F,+5576918646655,2023-08-24 12:36:00,Basic,Active
56,Isabela Lima,18.0,M,+5518901254349,2023-06-07 11:00:00,Basic,Active
57,Rafael Rodrigues,16.0,F,+5559987254770,2023-10-30 15:01:00,Gold,Churned
58,Pedro Alves,18.0,F,+5520951298033,2019-03-18 14:30:00,Silver,Active
59,Ana Alves,39.5,F,+5590975386928,2020-12-04 13:58:00,Gold,Active
60,Leonardo Alves,41.0,F,+5532912519363,2022-10-22 09:31:00,Silver,Active
61,Camila Ferreira,57.0,M,+5543932323842,2021-08-25 09:26:00,Silver,Active
62,Julia Martins,45.0,F,+5590952956179,2025-05-01 09:39:00,Basic,Active
63,Beatriz Martins,19.0,F,0,2024-09-09 16:33:00,Basic,Active
64,Camila Carvalho,57.0,M,+5570995081672,2025-08-30 16:23:00,Gold,Active
65,Bruno Gomes,25.0,M,+5554913819266,2024-01-20 09:35:00,Basic,Active
66,Guilherme Lima,26.0,F,+5560966976543,2023-03-08 09:00:00,Basic,Active
67,Bruno Santos,51.0,F,+5595998743463,2022-03-09 16:14:00,Silver,Active
68,Camila Rodrigues,60.0,F,+5521950727171,2020-06-12 13:40:00,Basic,Active
69,João Santos,43.0,F,+5534935096598,2019-03-16 11:20:00,Basic,Active
70,Gabriel Oliveira,39.5,M,+5578906186517,2024-09-10 14:03:00,Silver,Active
71,Gabriel Oliveira,60.0,M,0,2023-11-28 11:07:00,Basic,Active
72,Guilherme Gomes,44.0,M,+5571931787026,2024-12-27 10:51:00,Silver,Active
73,Beatriz Martins,49.0,F,+5588922675096,2020-10-25 12:19:00,Basic,Active
74,Ana Ribeiro,23.0,F,+5545973619410,2019-12-10 17:01:00,Basic,Churned
75,Larissa Carvalho,38.0,M,0,2023-08-27 15:43:00,Silver,Active
76,Pedro Ferreira,36.0,M,+5528906275700,2022-10-05 10:31:00,Basic,Churned
77,Isabela Pereira,21.0,M,+5530989919647,2021-11-14 14:27:00,Silver,Active
78,Ana Silva,56.0,F,+5574997769782,2019-09-15 16:53:00,Silver,Active
79,Gabriel Rodrigues,55.0,F,+5534914029576,2021-09-12 17:18:00,Basic,Active
80,João Martins,51.0,M,+5516963387116,2023-05-19 15:34:00,Basic,Churned
81,Camila Souza,56.0,M,+5553921851726,2025-07-11 10:44:00,Basic,Active
82,Guilherme Ribeiro,27.0,M,+5569906055807,2019-09-16 11:36:00,Silver,Churned
83,Bruno Rodrigues,50.0,F,0,2021-11-03 10:12:00,Silver,Active
84,Mariana Carvalho,33.0,M,+5562972047334,2023-02-16 10:40:00,Basic,Active
85,Camila Martins,21.0,F,+5534989375813,2019-11-20 10:44:00,Basic,Active
86,Beatriz Pereira,43.0,M,+5516957768126,2023-12-24 11:07:00,Gold,Churned
87,Pedro Costa,39.0,M,+5588971791570,2019-05-08 13:09:00,Basic,Active
88,Camila Alves,18.0,M,+5558972732259,2024-01-17 12:40:00,Silver,Active
89,Rafael Souza,17.0,M,+5582919295288,2024-08-06 12:07:00,Silver,Active
90,Manuela Rodrigues,47.0,M,+5520974063828,2020-05-17 11:52:00,Basic,Active
91,Bruno Costa,20.0,F,+5592928526922,2022-05-13 10:06:00,Basic,Active
92,Gabriel Souza,17.0,F,+5570990383126,2025-03-19 17:58:00,Basic,Active
93,Isabela Lima,42.0,M,+5593912158372,2020-05-28 14:40:00,Silver,Active
94,Karina Costa,24.0,F,+5518920349488,2024-08-21 11:26:00,Basic,Active
95,Larissa Ferreira,49.0,F,+5592990245496,2019-11-20 16:16:00,Basic,Active
96,João Costa,53.0,M,+5588955311674,2020-12-02 16:20:00,Basic,Active
97,Leonardo Rodrigues,52.0,F,+5591989385745,2019-05-05 17:44:00,Basic,Active
98,Diego Rodrigues,60.0,M,+5572976094342,2020-10-09 10:45:00,Basic,Churned
99,Bruno Ribeiro,38.0,F,+5576992022739,2020-06-19 14:12:00,Basic,Active
100,Larissa Oliveira,34.0,F,+5531953646123,2023-09-09 17:32:00,Basic,Churned
101,Guilherme Pereira,47.0,M,+5575974914944,2020-01-04 16:59:00,Basic,Active
102,Isabela Gomes,57.0,F,+5524970603194,2022-03-16 11:15:00,Silver,Churned
103,Camila Silva,52.0,M,+5520963299261,2023-01-24 17:41:00,Silver,Churned
104,Manuela Costa,24.0,M,+5554991396990,2023-06-02 12:10:00,Basic,Active
105,João Silva,39.5,M,+5577974873440,2022-09-26 13:50:00,Silver,Active
106,Manuela Ferreira,55.0,F,+5576987219025,2025-08-28 14:10:00,Basic,Churned
107,Camila Ferreira,42.0,F,+5544994774728,2019-04-20 15:17:00,Silver,Active
108,Manuela Martins,25.0,M,+5525931251310,2019-05-10 10:27:00,Basic,Active
109,Matheus Alves,55.0,F,+5577933976325,2019-09-13 13:22:00,Basic,Active
110,Julia Pereira,37.0,F,+5535940385571,,Basic,Churned
111,Beatriz Martins,29.0,F,+5582944805715,2022-07-22 13:38:00,Silver,Active
112,Diego Carvalho,25.0,F,+5521956748247,2019-06-22 11:01:00,Silver,Active
113,Karina Rodrigues,60.0,F,+5586939204972,2020-07-16 09:59:00,Gold,Active
114,Larissa Silva,37.0,F,+5528900843587,2020-02-16 13:03:00,Gold,Churned
115,Isabela Costa,34.0,F,+5522994064804,2022-03-15 15:20:00,Silver,Churned
116,Julia Alves,27.0,M,+5534947421613,2023-06-15 13:55:00,Silver,Active
117,Bruno Rodrigues,57.0,F,+5570944704159,2020-07-03 17:09:00,Basic,Active
118,Rafael Ribeiro,37.0,F,+5535928757643,2025-05-14 14:04:00,Silver,Active
119,Ana Oliveira,46.0,F,0,2021-10-13 13:44:00,Basic,Active
120,Rafael Ferreira,52.0,M,+5599938712017,2021-12-07 09:04:00,Basic,Active
121,João Ribeiro,60.0,M,+5539935903188,2022-04-23 14:53:00,Basic,Churned
122,Camila Alves,46.0,M,+5587913419609,2021-10-10 10:27:00,Silver,Active
123,Leonardo Santos,39.5,M,+5532953759525,2025-06-03 15:52:00,Silver,Active
124,Isabela Santos,44.0,M,+5564974841945,2024-02-01 10:14:00,Silver,Active
125,Lucas Alves,16.0,M,0,2025-06-26 17:08:00,Basic,Active
126,Karina Silva,20.0,F,+5534922187887,2019-05-10 11:57:00,Gold,Active
127,Diego Alves,58.0,M,+5579964399664,2022-11-25 12:45:00,Gold,Churned
128,Lucas Rodrigues,50.0,F,+5540940558546,2024-12-18 10:54:00,Basic,Churned
129,Ana Silva,42.0,M,+5523997311550,2021-09-12 10:19:00,Silver,Churned
130,Larissa Ribeiro,39.5,F,+5518922959255,2021-08-17 17:24:00,Basic,Churned
131,Leonardo Ferreira,59.0,F,+5529985404621,2021-08-28 11:34:00,Basic,Active
132,Leonardo Ribeiro,56.0,F,+5555962449592,2025-03-26 13:26:00,Basic,Active
133,Diego Oliveira,46.0,M,+5529975861944,2021-07-12 17:14:00,Gold,Active
134,Gabriel Alves,29.0,F,+5558915149775,2019-11-20 14:22:00,Basic,Active
135,Manuela Gomes,39.5,M,+5586991564555,2021-02-09 09:36:00,Gold,Active
136,Lucas Souza,23.0,F,+5537964984921,2021-09-20 12:02:00,Silver,Active
137,Karina Costa,32.0,F,+5570916158692,2024-10-01 12:20:00,Basic,Active
138,Bruno Alves,39.5,M,0,2020-08-20 11:17:00,Silver,Active
139,Fernanda Rodrigues,37.0,M,+5542981806530,2023-04-05 11:04:00,Gold,Churned
140,Isabela Pereira,38.0,M,+5573930159882,2020-07-27 13:07:00,Gold,Active
141,Pedro Carvalho,16.0,F,+5540911133474,2020-07-17 12:29:00,Silver,Active
142,Manuela Costa,55.0,F,0,2024-06-21 11:06:00,Silver,Active
143,Lucas Lima,50.0,F,+5597970543937,2019-03-12 12:20:00,Basic,Active
144,Matheus Gomes,38.0,F,0,2023-06-14 12:33:00,Gold,Active
145,Larissa Ribeiro,59.0,M,0,2019-05-10 11:52:00,Basic,Active
146,Mariana Costa,39.5,M,+5566954272562,2019-12-05 13:05:00,Gold,Active
